file_name,status,chars_before,chars_after,pct_removed,removed_header,removed_backmatter,removed_sections,removed_boilerplate,sections_removed,doi,journal,internal_title,title_similarity,title_mismatch,note
Spaceflight promotes biofilm formation by Pseudomo.txt,cleaned,48626,32725,32.7,4226,9823,0,1853,,10.1371/journal.pone.0062437,PLoS One,Spaceflight Promotes Biofilm Formation by Pseudomonas aeruginosa,1.0,False,
NASA GeneLab Interfaces for the exploration of spa.txt,cleaned,36657,24494,33.18,1680,8639,95,1750,Data availability,10.1093/nar/gkaa887,Nucleic Acids Res,NASA GeneLab: interfaces for the exploration of space omics data,1.0,False,
Comprehensive multiomics analysis reveals mitochon.txt,cleaned,163647,94696,42.13,8815,44588,7413,8136,Supplementary|Supplementary,10.1016/j.cell.2020.11.002,Cell,Comprehensive Multi-Omics Analysis Reveals Mitochondrial Stress as a Central Biological Hub for Spaceflight Impact,1.0,False,
A New Era for Space Life Science International Sta.txt,cleaned,68400,36290,46.94,5630,22113,0,4368,,10.1016/j.patter.2020.100148,Patterns (N Y),A New Era for Space Life Science: International Standards for Space Omics Processing,1.0,False,
Knowledge Network Embedding of Transcriptomic Data.txt,cleaned,47297,30744,35.0,4122,7921,2453,2058,Supplementary|Author contributions|Funding|Data availability|Footnotes,10.3390/life11010042,Life (Basel),Knowledge Network Embedding of Transcriptomic Data from Spaceflown Mice Uncovers Signs and Symptoms Associated with Terrestrial Diseases,1.0,False,
NASA GeneLab RNASeq Consensus Pipeline Standardize.txt,cleaned,74308,48705,34.46,7808,13921,0,3875,,10.1016/j.isci.2021.102361,iScience,NASA GeneLab RNA-seq consensus pipeline: standardized processing of short-read RNA-seq data,1.0,False,
Spatially resolved multiomics on the neuronal effe.txt,cleaned,90695,56640,37.55,7668,21083,622,4683,Supplementary|Supplementary,10.1038/s41467-024-48916-8,Nat Commun,Spatially resolved multiomics on the neuronal effects induced by spaceflight in mice,1.0,False,
Biological horizons pioneering open science in the.txt,cleaned,9773,6240,36.15,801,1486,604,643,Author contributions|Competing interests|Footnotes,10.1038/s41467-024-48633-2,Nat Commun,Biological horizons: pioneering open science in the cosmos,1.0,False,
Inspiration4 data access through the NASA Open Sci.txt,cleaned,30866,23197,24.85,2319,4314,57,980,Supplementary,10.1038/s41526-024-00393-5,NPJ Microgravity,Inspiration4 data access through the NASA Open Science Data Repository,1.0,False,
NASA GeneLab derived microarray studies of Mus mus.txt,cleaned,69589,45478,34.65,2396,18118,0,3598,,10.1038/s41526-024-00392-6,NPJ Microgravity,NASA GeneLab derived microarray studies of Mus musculus and Homo sapiens organisms in altered gravitational conditions,1.0,False,
Dichotomous effects on lymphatic transport with lo.txt,cleaned,62256,44687,28.22,3346,10524,986,2714,Supplementary,10.1111/apha.13656,Acta Physiol (Oxf),Dichotomous effects on lymphatic transport with loss of caveolae in mice,1.0,False,
Fungal diversity differences in the indoor dust mi.txt,cleaned,50001,30044,39.91,3808,13387,68,2695,Supplementary,10.1038/s41598-024-62191-z,Sci Rep,Fungal diversity differences in the indoor dust microbiome from built environments on earth and in space,1.0,False,
Chronic skeletal unloading of the rat femur mechan.txt,cleaned,43768,30594,30.1,1572,9512,0,2091,,10.1016/j.bone.2013.09.003,Bone,Chronic Skeletal Unloading of the Rat Femur: Mechanisms and Functional Consequences of Vascular Remodeling,1.0,False,
Differential effects of aging and exercise on intr.txt,cleaned,57489,36357,36.76,2713,14382,542,3496,Author contributions,10.1152/japplphysiol.01358.2012,J Appl Physiol (1985),Differential effects of aging and exercise on intra-abdominal adipose arteriolar function and blood flow regulation,1.0,False,
Effects of spaceflight and ground recovery on mese.txt,cleaned,60893,39360,35.36,1654,16677,0,3203,,10.1096/fj.12-218503,FASEB J,Effects of spaceflight and ground recovery on mesenteric artery and vein constrictor properties in mice,1.0,False,
Spaceflightinduced alterations in cerebral artery .txt,cleaned,60343,38541,36.13,2268,16482,0,3053,,10.1096/fj.12-222687,FASEB J,"Spaceflight-induced alterations in cerebral artery vasoconstrictor, mechanical, and structural properties: implications for elevated cerebral perfusion and intracranial pressure",1.0,False,
Exercise training augments regional bone and marro.txt,cleaned,34436,21968,36.21,1490,8969,0,2010,,10.1249/MSS.0000000000000342,Med Sci Sports Exerc,Exercise Training Augments Regional Bone and Marrow Blood Flow during Exercise,1.0,False,
Effects of Skeletal Unloading on the Vasomotor Pro.txt,cleaned,49907,33679,32.52,1922,11150,461,2696,Author contributions,10.1152/japplphysiol.00576.2014,J Appl Physiol (1985),Effects of skeletal unloading on the vasomotor properties of the rat femur principal nutrient artery,1.0,False,
Type 2 diabetes alters bone and marrow blood flow .txt,cleaned,54330,33933,37.54,1913,15268,299,2918,Supplementary,10.1530/JOE-14-0514,J Endocrinol,Type 2 diabetes alters bone and marrow blood flow and vascular control mechanisms in the ZDF rat,1.0,False,
Spaceflight on the BionM1 biosatellite alters cere.txt,cleaned,61998,39283,36.64,3192,15249,716,3559,Author contributions,10.1152/japplphysiol.00976.2014,J Appl Physiol (1985),Spaceflight on the Bion-M1 biosatellite alters cerebral artery vasomotor and mechanical properties in mice,1.0,False,
Apollo Lunar Astronauts Show Higher Cardiovascular.txt,cleaned,50135,37944,24.32,1969,8136,81,2006,Supplementary|Supplementary,10.1038/srep29901,Sci Rep,Apollo Lunar Astronauts Show Higher Cardiovascular Disease Mortality: Possible Deep Space Radiation Effects on the Vascular Endothelium,1.0,False,
Effects of age and exercise training on coronary m.txt,cleaned,55340,36489,34.06,2627,12660,683,2882,Author contributions,10.1152/japplphysiol.00459.2017,J Appl Physiol (1985),Effects of age and exercise training on coronary microvascular smooth muscle phenotype and function,1.0,False,
Impact of Spaceflight and Artificial Gravity on th.txt,cleaned,46503,34128,26.61,4333,6405,0,1638,,10.3390/ijms19092546,Int J Mol Sci,Impact of Spaceflight and Artificial Gravity on the Mouse Retina: Biochemical and Proteomic Analysis,1.0,False,
Simulated microgravity induces regionally distinct.txt,cleaned,51961,35348,31.97,3060,10373,944,2237,Data availability|Author contributions|Competing interests|Footnotes,10.3389/fphys.2020.00675,Front Physiol,Simulated Microgravity Induces Regionally Distinct Neurovascular and Structural Remodeling of Skeletal Muscle and Cutaneous Arteries in the Rat,1.0,False,
Spaceflight decelerates the epigenetic clock orche.txt,cleaned,72500,52693,27.32,3544,13044,100,3120,Supplementary,10.1093/pcmedi/pbab012,Precis Clin Med,Spaceflight decelerates the epigenetic clock orchestrated with a global alteration in DNA methylome and transcriptome in the mouse retina,1.0,False,
Development of otolith receptors in Japanese quail.txt,cleaned,77264,56167,27.31,1403,15989,0,3706,,10.1002/dneu.20787,Dev Neurobiol,DEVELOPMENT OF OTOLITH RECEPTORS IN JAPANESE QUAIL,1.0,False,
Spatial and temporal characteristics of vestibular.txt,cleaned,69197,53643,22.48,1422,11618,0,2515,,10.1016/j.neuroscience.2011.06.070,Neuroscience,Spatial and temporal characteristics of vestibular convergence,1.0,False,
Bone remodeling is regulated by inner ear vestibul.txt,excluded_title_mismatch,47129,0,100.0,3490,7802,367,2222,Supplementary,10.1016/j.bone.2019.05.024,Bone,The Ca V 1.2 L-type calcium channel regulates bone homeostasis in the middle and inner ear,0.324,True,"título divergente (sim=0.32): metadata diz 'Bone remodeling is regulated by inner ea', documento é 'The Ca V 1.2 L-type calcium channel regu'"
Simulated Microgravity Enhances Oligodendrocyte Mi.txt,cleaned,60445,47926,20.71,3925,6877,0,1718,,10.1002/jnr.23958,J Neurosci Res,SIMULATED MICROGRAVITY ENHANCES OLIGODENDROCYTE MITOCHONDRIAL FUNCTION AND LIPID METABOLISM,1.0,False,
Human Neural Stem Cells Flown into Space Prolifera.txt,cleaned,24999,18240,27.04,3115,2704,93,848,Footnotes,10.3390/app9194042,Appl Sci (Basel),Human Neural Stem Cells Flown into Space Proliferate and Generate Young Neurons,1.0,False,
Delayed Maturation of Oligodendrocyte Progenitors .txt,excluded,6655,0,100.0,0,0,0,398,,10.3390/life13102051,Life (Basel),"Correction: Tran et al. Delayed Maturation of Oligodendrocyte Progenitors by Microgravity: Implications for Multiple Sclerosis and Space Flight. Life 2022,",0.756,False,documento não-científico: Correction: Tran et al. Delayed Maturation of Oligodendrocyt
Space Microgravity Alters Neural Stem Cell Divisio.txt,cleaned,59332,42532,28.32,2469,12164,0,2168,,10.3390/ijms232214320,Int J Mol Sci,Space Microgravity Alters Neural Stem Cell Division: Implications for Brain Cancer Research on Earth and in Space,1.0,False,
Oligodendrocyte Progenitors Display Enhanced Proli.txt,cleaned,47857,34492,27.93,2049,9734,0,1583,,10.3390/biom13020201,Biomolecules,Oligodendrocyte Progenitors Display Enhanced Proliferation and Autophagy after Space Flight,1.0,False,
Metabolomics profile of the secretome of spaceflow.txt,cleaned,62235,40608,34.75,2526,16208,0,2894,,10.3390/cells12182249,Cells,Metabolomics Profile of the Secretome of Space-Flown Oligodendrocytes,1.0,False,
Metabolomic profiling of the secretome from human .txt,cleaned,41694,28140,32.51,1621,9830,0,2104,,10.3390/bioengineering11010011,Bioengineering (Basel),Metabolomic Profiling of the Secretome from Human Neural Stem Cells Flown into Space,1.0,False,
Strategies research priorities and challenges for .txt,excluded_title_mismatch,83385,0,100.0,3064,0,19766,4782,Acknowledgments|Author contributions|Competing interests|Footnotes|Contributor Information|References,10.1038/s41526-023-00295-y,NPJ Microgravity,Paving the way to better understand the effects of prolonged spaceflight on operational performance and its neural bases,0.256,True,"título divergente (sim=0.26): metadata diz 'Strategies, research priorities, and cha', documento é 'Paving the way to better understand the '"
Spaceflight Induces Specific Alterations in the Pr.txt,cleaned,61739,40683,34.1,1424,16176,161,3296,Supplementary,10.1089/ast.2014.1210,Astrobiology,Spaceflight Induces Specific Alterations in the Proteomes of Arabidopsis,1.0,False,
The effect of spaceflight on the gravitysensing au.txt,cleaned,51537,38169,25.94,1721,9330,0,2318,,10.1038/npjmgrav.2015.23,NPJ Microgravity,The effect of spaceflight on the gravity-sensing auxin gradient of roots: GFP reporter gene microscopy on orbit,1.0,False,
Skewing in Arabidopsis roots involves disparate en.txt,cleaned,89801,52006,42.09,2376,29336,0,6084,,10.1186/s12870-017-0975-9,BMC Plant Biol,Skewing in Arabidopsis roots involves disparate environmental signaling pathways,1.0,False,
Genetic dissection of the Arabidopsis spaceflight .txt,cleaned,79822,52665,34.02,2561,20978,0,3619,,10.1371/journal.pone.0180186,PLoS One,Genetic dissection of the Arabidopsis spaceflight transcriptome: Are some responses dispensable for the physiological adaptation of plants to spaceflight?,1.0,False,
Phenotypic characterization of an Arabidopsis T DN.txt,cleaned,14655,9514,35.08,1649,2757,0,736,,10.1016/j.dib.2018.03.107,Data Brief,Phenotypic characterization of an Arabidopsis T-DNA insertion line SALK_063500,0.993,False,
Utilization of singleÄêimage normalized difference.txt,cleaned,42639,29690,30.37,2216,9943,0,791,,10.1002/aps3.1186,Appl Plant Sci,Utilization of single‐image normalized difference vegetation index (SI‐NDVI) for early plant stress detection,1.0,False,
Comparing RNASeq and microarray gene expression da.txt,cleaned,56818,42012,26.06,1709,10616,0,2482,,10.1002/aps3.1197,Appl Plant Sci,Comparing RNA‐Seq and microarray gene expression data in two zones of the Arabidopsis root apex relevant to spaceflight,1.0,False,
Spaceflightinduced alternative splicing during see.txt,cleaned,30503,19665,35.53,2759,6208,168,1704,Supplementary,10.1038/s41526-019-0070-7,NPJ Microgravity,Spaceflight-induced alternative splicing during seedling development in Arabidopsis thaliana,1.0,False,
The Plant Health Monitoring System of the EDEN ISS.txt,cleaned,57526,33147,42.38,1961,8189,12848,1382,Supplementary|Data availability|Author contributions|Competing interests,10.3389/fpls.2020.00656,Front Plant Sci,Biomass Production of the EDEN ISS Space Greenhouse in Antarctica During the 2018 Experiment Phase,0.678,False,
Root skewingassociated genes impact the spacefligh.txt,cleaned,129928,88226,32.1,3163,30533,1137,6870,Data availability|Author contributions|Competing interests,10.3389/fpls.2020.00239,Front Plant Sci,Root Skewing-Associated Genes Impact the Spaceflight Response of Arabidopsis thaliana,1.0,False,
Articular cartilage and sternal fibrocartilage res.txt,cleaned,25777,16529,35.88,2220,5560,95,1374,Supplementary|Supplementary,10.1038/s41526-019-0063-6,NPJ Microgravity,Articular cartilage and sternal fibrocartilage respond differently to extended microgravity,1.0,False,
Hostmicrobe interactions in microgravity assessmen.txt,cleaned,59246,29537,50.15,1276,23464,0,4970,,10.3390/life4020250,Life (Basel),Host-Microbe Interactions in Microgravity: Assessment and Implications,1.0,False,
Environmental cues and symbiont microbeassociated .txt,cleaned,59275,38905,34.37,2043,15003,0,3325,,10.1111/cmi.12602,Cell Microbiol,Environmental cues and symbiont microbe-associated molecular patterns function in concert to drive the daily remodelling of the crypt-cell brush border of the Euprymna scolopes light organ,1.0,False,
Symbiotic organs shaped by distinct modes of genom.txt,cleaned,42531,24320,42.82,6926,8704,141,2441,Supplementary,10.1073/pnas.1817322116,Proc Natl Acad Sci U S A,Symbiotic organs shaped by distinct modes of genome evolution in cephalopods,1.0,False,
Modeled microgravity alters lipopolysaccharide and.txt,cleaned,71505,45431,36.46,2481,18719,143,4732,Supplementary|Supplementary,10.1038/s41526-021-00138-8,NPJ Microgravity,Modeled microgravity alters lipopolysaccharide and outer membrane vesicle production of the beneficial symbiont Vibrio fischeri,1.0,False,
Emergence of novel cephalopod gene regulation and .txt,cleaned,71303,44893,37.04,3886,18865,296,3364,Supplementary|Supplementary,10.1038/s41467-022-29694-7,Nat Commun,Emergence of novel cephalopod gene regulation and expression through large-scale genome reorganization,1.0,False,
Modeled microgravity alters apoptotic gene express.txt,cleaned,92095,55516,39.72,2240,19417,10561,4362,Supplementary|Supplementary|Funding|Competing interests|Footnotes,10.1186/s12866-022-02614-x,BMC Microbiol,Modeled microgravity alters apoptotic gene expression and caspase activity in the squid-vibrio symbiosis,1.0,False,
In vitro generation of mechanically functional car.txt,cleaned,52268,30466,41.71,3328,15626,0,2849,,10.1016/j.biomaterials.2009.11.092,Biomaterials,In vitro generation of mechanically functional cartilage grafts based on adult human stem cells and 3D-woven poly(ε-caprolactone) scaffolds,1.0,False,
Chondrogenesis and mineralization during in vitro .txt,cleaned,49060,33120,32.49,3045,10565,0,2331,,10.1089/ten.tea.2010.0190,Tissue Eng Part A,Chondrogenesis and Mineralization During In Vitro Culture of Human Mesenchymal Stem Cells on Three-Dimensional Woven Scaffolds,1.0,False,
Microbiome metadata standards Report of the Nation.txt,excluded,10269,0,100.0,0,0,0,920,,10.1128/mSystems.00273-21,mSystems,"Correction for Vangay et al., “Microbiome Metadata Standards: Report of the National Microbiome Data Collaborative’s Workshop and Follow-On Activities”",0.689,False,"documento não-científico: Correction for Vangay et al., “Microbiome Metadata Standards"
Asparagine biosynthesis as a mechanism of increase.txt,cleaned,65815,51196,22.21,1146,10071,521,2882,Funding|Data availability,10.1016/j.heliyon.2022.e09379,Heliyon,Asparagine biosynthesis as a mechanism of increased host lethality induced by Serratia marcescens in simulated microgravity environments,1.0,False,
Comparative genomic analysis of Cohnella hashimoto.txt,cleaned,84714,53519,36.82,2869,22800,1036,4491,Data availability|Supplementary|Author contributions,10.3389/fmicb.2023.1166013,Front Microbiol,Comparative genomic analysis of Cohnella hashimotonis sp. nov. isolated from the International Space Station,1.0,False,
Biocontrol in built environments to reduce pathoge.txt,cleaned,77547,42842,44.75,4430,24171,0,6105,,10.1093/ismejo/wrad024,ISME J,Biocontrol in built environments to reduce pathogen exposure and infection risk,1.0,False,
Extracellular nucleotides elicit cytosolic free ca.txt,excluded_title_mismatch,17880,0,100.0,1249,7032,0,1781,,10.4161/psb.6.11.17014,Plant Signal Behav,Release of extracellular purines from plant roots and effect on ion fluxes,0.369,True,"título divergente (sim=0.37): metadata diz 'Extracellular nucleotides elicit cytosol', documento é 'Release of extracellular purines from pl'"
Calcium mechanical signaling and tip growth.txt,excluded_title_mismatch,92222,0,100.0,3730,13879,309,3687,Supplementary|Supplementary,10.1038/s41467-025-59047-z,Nat Commun,Mechanosensing antagonizes ethylene signaling to promote root gravitropism in rice,0.416,True,"título divergente (sim=0.42): metadata diz 'Calcium, mechanical signaling, and tip g', documento é 'Mechanosensing antagonizes ethylene sign'"
Gravitropism and mechanical signaling in plants.txt,excluded_title_mismatch,92222,0,100.0,3730,13879,309,3687,Supplementary|Supplementary,10.1038/s41467-025-59047-z,Nat Commun,Mechanosensing antagonizes ethylene signaling to promote root gravitropism in rice,0.248,True,"título divergente (sim=0.25): metadata diz 'Gravitropism and mechanical signaling in', documento é 'Mechanosensing antagonizes ethylene sign'"
Salt stressinduced Ca2 waves are associated with r.txt,cleaned,51285,36003,29.8,2433,10150,87,2613,Supplementary,10.1073/pnas.1319955111,Proc Natl Acad Sci U S A,"Salt stress-induced Ca 2+ waves are associated with rapid, long-distance root-to-shoot signaling in plants",0.989,False,
Gravitropic signaling in plants.txt,excluded_title_mismatch,92222,0,100.0,3730,13879,309,3687,Supplementary|Supplementary,10.1038/s41467-025-59047-z,Nat Commun,Mechanosensing antagonizes ethylene signaling to promote root gravitropism in rice,0.319,True,"título divergente (sim=0.32): metadata diz 'Gravitropic signaling in plants', documento é 'Mechanosensing antagonizes ethylene sign'"
A ROSassisted calcium wave dependent on AtRBOHD an.txt,cleaned,77019,57934,24.78,2864,12759,83,3380,Supplementary,10.1104/pp.16.00215,Plant Physiol,A ROS-Assisted Calcium Wave Dependent on the AtRBOHD NADPH Oxidase and TPC1 Cation Channel Propagates the Systemic Response to Salt Stress,0.711,False,
ROS calcium and electric signals Key mediators of .txt,excluded_title_mismatch,54659,0,100.0,1824,11583,0,3062,,10.1105/tpc.20.00453,Plant Cell,Vascular Bundles Mediate Systemic Reactive Oxygen Signaling during Light Stress [OPEN],0.476,True,"título divergente (sim=0.48): metadata diz 'ROS, calcium and electric signals: Key m', documento é 'Vascular Bundles Mediate Systemic Reacti'"
Realtime In Vivo Recording of Arabidopsis Calcium .txt,cleaned,43136,28260,34.49,2287,9879,0,2711,,10.3791/56142,J Vis Exp,Real-time In Vivo Recording of Arabidopsis Calcium Signals During Insect Feeding Using a Fluorescent Biosensor,1.0,False,
Orchestrating rapid longdistance signaling in plan.txt,cleaned,60878,37984,37.61,1896,16892,0,4107,,10.1111/tpj.13492,Plant J,"Orchestrating rapid long-distance signaling in plants with Ca 2+ , ROS and electrical signals",0.994,False,
Glutamate triggers longdistance calciumbased plant.txt,cleaned,65625,42113,35.83,5810,13397,732,3574,Supplementary|Supplementary,10.1038/s41467-025-57239-1,Nat Commun,"Glutathione triggers leaf-to-leaf, calcium-based plant defense signaling",0.838,False,
Test of Arabidopsis Space Transcriptome A discover.txt,cleaned,90222,55150,38.87,1897,27943,817,4416,Data availability|Author contributions|Funding|Competing interests,10.3389/fpls.2020.00147,Front Plant Sci,Test of Arabidopsis Space Transcriptome: A Discovery Environment to Explore Multiple Plant Biology Spaceflight Experiments,1.0,False,
Tonoplastlocalized Ca2 pumps regulate Ca2 signals .txt,cleaned,64065,44414,30.67,3206,12581,343,3522,Supplementary,10.1073/pnas.2004183117,Proc Natl Acad Sci U S A,Tonoplast-localized Ca 2+ pumps regulate Ca 2+ signals during pattern-triggered immunity in Arabidopsis thaliana,0.978,False,
The fast and the furious Rapid longrange signaling.txt,cleaned,73545,47568,35.32,1556,19360,0,5062,,10.1093/plphys/kiaa098,Plant Physiol,The fast and the furious: rapid long-range signaling in plants,1.0,False,
RadBioApp A discovery environment for biologists t.txt,cleaned,50579,33954,32.87,2401,11738,100,2387,Supplementary,10.1038/s41526-021-00143-x,NPJ Microgravity,Rad-Bio-App: a discovery environment for biologists to explore spaceflight-related radiation exposures,1.0,False,
The vacuolar HCa transporter CAX1 participates in .txt,cleaned,99161,70468,28.94,3433,19736,101,5424,Supplementary,10.1093/plphys/kiac375,Plant Physiol,The vacuolar H + /Ca transporter CAX1 participates in submergence and anoxia stress responses,0.994,False,
Metaanalysis of the space flight and microgravity .txt,cleaned,84517,60184,28.79,4926,15352,343,3713,Supplementary,10.1038/s41526-023-00247-6,NPJ Microgravity,Meta-analysis of the space flight and microgravity response of the Arabidopsis plant transcriptome,1.0,False,
Lowdose ionizing radiation and agerelated changes .txt,cleaned,30380,21357,29.7,1700,5928,0,1396,,10.1155/2012/481983,J Aging Res,"Low-Dose, Ionizing Radiation and Age-Related Changes in Skeletal Microarchitecture",1.0,False,
Ionizing Radiation Stimulates Expression of ProOst.txt,cleaned,45801,31232,31.81,2328,9741,0,2501,,10.1089/jir.2014.0152,J Interferon Cytokine Res,Ionizing Radiation Stimulates Expression of Pro-Osteoclastogenic Genes in Marrow and Skeletal Tissue,1.0,False,
Preservation of Multiple Mammalian Tissues to Maxi.txt,cleaned,39799,27390,31.18,2471,8245,0,1694,,10.1371/journal.pone.0167391,PLoS One,Preservation of Multiple Mammalian Tissues to Maximize Science Return from Ground Based and Spaceflight Experiments,1.0,False,
Hindlimb Unloading Rodent Analog for Microgravity.txt,excluded_title_mismatch,82479,0,100.0,4028,18491,249,3872,Supplementary,10.1007/s00018-024-05572-x,Cell Mol Life Sci,Single-cell RNA sequencing of the carotid artery and femoral artery of rats exposed to hindlimb unloading,0.058,True,"título divergente (sim=0.06): metadata diz 'Hindlimb Unloading: Rodent Analog for Mi', documento é 'Single-cell RNA sequencing of the caroti'"
Redox Signaling and Its Impact on Skeletal and Vas.txt,cleaned,84894,36831,56.62,1105,39524,0,7435,,10.3390/ijms18102153,Int J Mol Sci,Redox Signaling and Its Impact on Skeletal and Vascular Responses to Spaceflight,1.0,False,
Influence of social isolation during prolonged sim.txt,cleaned,86977,51483,40.81,3799,25252,1304,5140,Data availability|Author contributions|Competing interests,10.3389/fphys.2019.01147,Front Physiol,Influence of Social Isolation During Prolonged Simulated Weightlessness by Hindlimb Unloading,1.0,False,
Validation of a new Rodent experimental System to .txt,cleaned,90865,68875,24.2,3011,15349,68,3563,Supplementary,10.1038/s41598-020-58898-4,Sci Rep,Validation of a New Rodent Experimental System to Investigate Consequences of Long Duration Space Habitation,1.0,False,
Skeletal tissue regulation by catalase overexpress.txt,excluded_title_mismatch,65561,0,100.0,2362,14802,0,2892,,10.1113/jphysiol.2014.286740,J Physiol,The role of alterations in mitochondrial dynamics and PGC-1α over-expression in fast muscle atrophy following hindlimb unloading,0.503,True,"título divergente (sim=0.50): metadata diz 'Skeletal tissue regulation by catalase o', documento é 'The role of alterations in mitochondrial'"
Overexpression of catalase in mitochondria mitigat.txt,cleaned,61653,36165,41.34,4146,16864,99,4380,Supplementary|Supplementary,10.1038/s41526-021-00152-w,NPJ Microgravity,Overexpression of catalase in mitochondria mitigates changes in hippocampal cytokine expression following simulated microgravity and isolation,1.0,False,
An extensive allelic series of Drosophila kae1 mut.txt,cleaned,82661,64426,22.06,3496,11415,88,3237,Supplementary,10.1261/rna.053934.115,RNA,An extensive allelic series of Drosophila kae1 mutants reveals diverse and tissue-specific requirements for t6A biogenesis,1.0,False,
Novel Organelles with Elements of Bacterial and Eu.txt,cleaned,93046,45562,51.03,2910,29548,10039,4988,Supplementary,10.1016/j.cub.2017.08.019,Curr Biol,Novel organelles with elements of bacterial and eukaryotic secretion systems weaponize parasites of Drosophila,1.0,False,
A combined computational strategy of sequence and .txt,cleaned,125387,73282,41.56,3351,42452,219,6084,Data availability|Funding,10.1371/journal.pone.0211897,PLoS One,A combined computational strategy of sequence and structural analysis predicts the existence of a functional eicosanoid pathway in Drosophila melanogaster,1.0,False,
Immune suppressive extracellular vesicle proteins .txt,flagged,78444,73481,6.33,0,0,0,4964,,10.1534/g3.119.400349,G3 (Bethesda),Immune Suppressive Extracellular Vesicle Proteins of Leptopilina heterotoma Are Encoded in the Wasp Genome,1.0,False,S1: corte agressivo revertido (restariam 26% do original); apenas R6 aplicado
Spaceflight and simulated microgravity conditions .txt,cleaned,64591,42737,33.83,2583,15526,97,3649,Supplementary|Supplementary,10.1038/s41526-019-0091-2,NPJ Microgravity,Spaceflight and simulated microgravity conditions increase virulence of Serratia marcescens in the Drosophila melanogaster infection model,1.0,False,
A parasitoid wasp of Drosophila employs preemptive.txt,cleaned,81738,44096,46.05,3721,28756,0,5166,,10.1371/journal.ppat.1009615,PLoS Pathog,A parasitoid wasp of Drosophila employs preemptive and reactive strategies to deplete its host’s blood cells,1.0,False,
In Silico Analysis of a Drosophila Parasitoid Veno.txt,cleaned,81960,44164,46.12,2834,29240,0,5723,,10.3390/pathogens12010143,Pathogens,In Silico Analysis of a Drosophila Parasitoid Venom Peptide Reveals Prevalence of the Cation–Polar–Cation Clip Motif in Knottin Proteins,1.0,False,
Drosophila parasitoids go to space Unexpected effe.txt,cleaned,128778,97778,24.07,3700,22572,0,4729,,10.1016/j.isci.2023.108759,iScience,Drosophila parasitoids go to space: Unexpected effects of spaceflight on hosts and their parasitoids,1.0,False,
Simultaneous exposure of cultured human lymphoblas.txt,cleaned,52998,31932,39.75,2429,15690,0,2948,,10.3390/life10090187,Life (Basel),Simultaneous Exposure of Cultured Human Lymphoblastic Cells to Simulated Microgravity and Radiation Increases Chromosome Aberrations,1.0,False,
Genes required for survival in microgravity reveal.txt,cleaned,53590,37787,29.49,3271,9272,1200,2061,Supplementary,10.1155/2015/976458,Biomed Res Int,Genes Required for Survival in Microgravity Revealed by Genome-Wide Yeast Deletion Collections Cultured during Spaceflight,1.0,False,
Physical Forces Modulate Oxidative Status and Stre.txt,cleaned,61502,43225,29.72,3010,12590,0,2678,,10.1007/s12217-017-9588-z,Microgravity Sci Technol,Physical Forces Modulate Oxidative Status and Stress Defense Meditated Metabolic Adaptation of Yeast Colonies: Spaceflight and Microgravity Simulations,1.0,False,
Effects of space flight on mouse liver versus kidn.txt,cleaned,33959,25068,26.18,2109,5619,0,1164,,10.3390/ijms19124106,Int J Mol Sci,Effects of Space Flight on Mouse Liver versus Kidney: Gene Pathway Analyses,1.0,False,
Yeast in Space.txt,excluded_title_mismatch,33744,0,100.0,1575,10717,0,2692,,10.1097/MD.0000000000042125,Medicine (Baltimore),Cryptococcus albidus meningitis: A case report and literature review,0.222,True,"título divergente (sim=0.22): metadata diz 'Yeast in Space', documento é 'Cryptococcus albidus meningitis: A case '"
Endocrine Effects of Space Flight.txt,excluded_title_mismatch,81705,0,100.0,4357,12137,69,2893,Supplementary,10.1038/s41598-025-90212-y,Sci Rep,Behavioral and multiomics analysis of 3D clinostat simulated microgravity effect in mice focusing on the central nervous system,0.325,True,"título divergente (sim=0.33): metadata diz 'Endocrine Effects of Space Flight', documento é 'Behavioral and multiomics analysis of 3D'"
Role of shear stress on renal proximal tubular cel.txt,excluded_title_mismatch,49882,0,100.0,4347,9887,1430,2396,Supplementary|Author contributions|Funding|Footnotes,10.3390/mi13050688,Micromachines (Basel),Three-Dimensional Kidney-on-a-Chip Assessment of Contrast-Induced Kidney Injury: Osmolality and Viscosity,0.25,True,"título divergente (sim=0.25): metadata diz 'Role of shear stress on renal proximal t', documento é 'Three-Dimensional Kidney-on-a-Chip Asses'"
Bone hemodynamic responses to changes in external .txt,excluded_title_mismatch,34687,0,100.0,3512,4483,939,1197,Footnotes,10.1177/19160216241288811,J Otolaryngol Head Neck Surg,"The Effect of Different Concentrations of Epinephrine in Otoendoscopic Surgery on Surgical Field Clarity: A Double-Blind, Randomized Study",0.324,True,"título divergente (sim=0.32): metadata diz 'Bone hemodynamic responses to changes in', documento é 'The Effect of Different Concentrations o'"
Back pain in space and postflight spine injury Mec.txt,excluded_title_mismatch,47078,0,100.0,2891,13298,0,2779,,10.1016/j.spinee.2017.08.261,Spine J,From the international space station to the clinic: how prolonged unloading may disrupt lumbar spine stability,0.225,True,"título divergente (sim=0.23): metadata diz 'Back pain in space and post-flight spine', documento é 'From the international space station to '"
Fifteen days of microgravity causes growth in calv.txt,cleaned,31168,20656,33.73,2436,6817,0,1260,,10.1016/j.bone.2013.06.009,Bone,Fifteen Days Microgravity Causes Growth in Calvaria of Mice,0.975,False,
